n,deg
25,2222
24,2228
23,2270
22,2528
21,2546
20,2578
19,2590
18,2616
17,2636
16,2644
15,2664
14,2672
13,2694
12,2714
11,2730
10,2742
9,2756
8,2768
7,2806
6,2812
5,2838
4,2862
3,2874
2,2940
1,2970
